NAME,$,POINTS
Adrian Peterson,$66 ,280
Arian Foster,$60 ,262
Marshawn Lynch,$51 ,234
Ray Rice,$51 ,232
Jamaal Charles,$50 ,229
C.J. Spiller,$50 ,228
Trent Richardson,$49 ,226
Doug Martin,$49 ,226
Alfred Morris,$47 ,219
LeSean McCoy,$41 ,200
Calvin Johnson,$40 ,237
Steven Jackson,$38 ,192
Aaron Rodgers,$37 ,352
Matt Forte,$35 ,183
Stevan Ridley,$35 ,182
Jimmy Graham,$34 ,174
David Wilson,$34 ,179
Frank Gore,$34 ,178
Rob Gronkowski,$34 ,173
Drew Brees,$33 ,335
Maurice Jones-Drew,$32 ,173
Chris Johnson,$32 ,173
Darren McFadden,$31 ,169
Tom Brady,$31 ,326
Peyton Manning,$30 ,325
Cam Newton,$30 ,323
Dez Bryant,$29 ,202
A.J. Green,$29 ,202
Reggie Bush,$28 ,161
Eddie Lacy,$28 ,160
Matt Ryan,$28 ,314
Brandon Marshall,$28 ,196
Darren Sproles,$26 ,154
Lamar Miller,$26 ,154
Colin Kaepernick,$26 ,306
DeMarco Murray,$25 ,152
Julio Jones,$24 ,187
Demaryius Thomas,$23 ,180
Montee Ball,$22 ,143
Ryan Mathews,$22 ,141
Andre Johnson,$21 ,177
Roddy White,$21 ,177
Matthew Stafford,$21 ,288
Tony Gonzalez,$21 ,133
Vincent Jackson,$21 ,175
Tony Romo,$20 ,284
Randall Cobb,$20 ,171
Rashard Mendenhall,$20 ,134
Andrew Luck,$19 ,281
Russell Wilson,$19 ,280
Daryl Richardson,$19 ,131
Larry Fitzgerald,$18 ,167
DeAngelo Williams,$18 ,129
Giovani Bernard,$18 ,129
Jason Witten,$18 ,123
Vernon Davis,$15 ,114
Mike Wallace,$14 ,155
Wes Welker,$14 ,154
Victor Cruz,$13 ,152
Marques Colston,$13 ,150
Reggie Wayne,$12 ,149
James Jones,$12 ,146
Greg Olsen,$11 ,102
Antonio Gates,$10 ,99
Brandon Myers,$10 ,98
Jermichael Finley,$10 ,98
Kyle Rudolph,$10 ,98
Owen Daniels,$10 ,98
Torrey Smith,$9 ,139
