NAME,$,POINTS
Steve Smith,$9 ,138
Jordy Nelson,$8 ,134
Eric Decker,$8 ,134
Shane Vereen,$5 ,129
Chris Ivory,$5 ,129
Ahmad Bradshaw,$5 ,128
BenJarvus Green-Ellis,$5 ,128
Robert Griffin III,$5 ,269
Vick Ballard,$3 ,106
Le'Veon Bell,$3 ,105
Mark Ingram,$3 ,103
Isaac Redman,$3 ,103
Jared Cook,$3 ,94
Martellus Bennett,$2 ,93
Antonio Brown,$2 ,134
Sidney Rice,$2 ,134
Dwayne Bowe,$2 ,132
Eli Manning,$2 ,232
DeSean Jackson,$2 ,131
Cecil Shorts,$2 ,131
Matt Schaub,$2 ,231
Steve Johnson,$2 ,128
T.Y. Hilton,$2 ,126
Anquan Boldin,$2 ,125
Brandon Pettigrew,$1 ,82
Pierre Garcon,$1 ,124
Hakeem Nicks,$1 ,124
Ben Tate,$1 ,86
Mike Williams,$1 ,123
Carson Palmer,$1 ,221
Greg Jennings,$1 ,122
Ben Roethlisberger,$1 ,221
Jacquizz Rodgers,$1 ,84
Josh Freeman,$1 ,219
Fred Davis,$1 ,78
Michael Bush,$1 ,83
Tavon Austin,$1 ,120
Mike Tolbert,$1 ,82
Philip Rivers,$1 ,217
Dwayne Allen,$1 ,76
Knowshon Moreno,$1 ,80
Shonn Greene,$1 ,80
Jordan Cameron,$1 ,75
Blair Walsh,$1 ,157
Stephen Gostkowski,$1 ,157
Josh Gordon,$1 ,118
Miles Austin,$1 ,118
Heath Miller,$1 ,75
Lance Moore,$1 ,117
Chris Givens,$1 ,117
Bilal Powell,$1 ,80
Kendall Hunter,$1 ,79
Danny Woodhead,$1 ,79
Denarius Moore,$1 ,116
Joique Bell,$1 ,79
Pierre Thomas,$1 ,78
Ronnie Hillman,$1 ,78
Matt Bryant,$1 ,150
LaRod Stephens-Howling,$1 ,78
Danny Amendola,$1 ,115
Andre Brown,$0 ,77
Justin Tucker,$0 ,148
Alshon Jeffery,$0 ,114
Andy Dalton,$0 ,210
Bryce Brown,$0 ,76
Roy Helu,$0 ,76
Phil Dawson,$0 ,144
Matt Prater,$0 ,144
Isaiah Pead,$0 ,76
Golden Tate,$0 ,113
Julius Thomas,$0 ,70
Randy Bullock,$0 ,141
Kendall Wright,$0 ,112
Jermaine Gresham,$0 ,69
Seahawks D/ST,$0 ,169
Sebastian Janikowski,$0 ,137
Josh Brown,$0 ,137
Sam Bradford,$0 ,207
49ers D/ST,$0 ,161
Coby Fleener,$0 ,68
Emmanuel Sanders,$0 ,111
Michael Turner,$0 ,73
Bears D/ST,$0 ,152
Ryan Tannehill,$0 ,206
Texans D/ST,$0 ,151
Christine Michael,$0 ,73
Marcel Reece,$0 ,73
David Akers,$0 ,134
Dan Bailey,$0 ,134
Bengals D/ST,$0 ,134
Broncos D/ST,$0 ,132
Patriots D/ST,$0 ,131
Steelers D/ST,$0 ,130
Rams D/ST,$0 ,129
Packers D/ST,$0 ,128
Mike Goodson,$0 ,72
Marcedes Lewis,$0 ,66
Vincent Brown,$0 ,108
Bernard Pierce,$0 ,70
Fred Jackson,$0 ,70
Ryan Broyles,$0 ,107
Tyler Eifert,$0 ,64
Joe Flacco,$0 ,202
Brent Celek,$0 ,63
Rueben Randle,$0 ,105
Jay Cutler,$0 ,200
Michael Vick,($1),198
Scott Chandler,($1),60
Dallas Clark,($1),60
Zach Miller,($1),59
Zach Ertz,($1),59
Mikel Leshoure,($1),63
Greg Zuerlein,($1),130
Malcom Floyd,($1),99
Daniel Thomas,($1),62
Rob Housler,($1),56
Delanie Walker,($1),55
Ed Dickson,($1),54
Lance Dunbar,($1),59
Jonathan Stewart,($1),58
Garrett Graham,($1),52
Robert Turbin,($1),57
Kellen Winslow,($1),52
Anthony Fasano,($2),51
Kenny Britt,($2),93
Steven Hauschka,($2),128
Joseph Randle,($2),54
Cedric Benson,($2),54
Willis McGahee,($2),53
Toby Gerhart,($2),53
David Ausberry,($2),47
